sport,market,side,american_odds,american_odds_display,model_prob,sized_prob,fair_prob,edge_pct,edge_pct_raw,shrinkage_alpha,ev_pct,bet_pct,bet_usd,confidence,signals,n_signals,pin_move_full,money_vs_tickets,clv_signed_train,trained_on,is_arb_side,arb_margin_pct,arb_book_count,arb_book,arb_partner_book,arb_partner_price,arb_partner_line,home_injury_score,away_injury_score,has_major_injury,injured_players,side_injury_score,opp_injury_score,book,line,is_home,event_id,sport_key
NBA,h2h,Philadelphia 76ers,240.0,+240,0.3916,,0.2976,9.4,,,33.14,0.0033036483769031877,33.036483769031875,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,williamhill_us,,0.0,b11391b35b7a0cf79deeef3bb3eb9009,basketball_nba
NBA,h2h,Minnesota Timberwolves,600.0,+600,0.3866,,0.1458,24.09,,,170.64,0.003830316958728333,38.30316958728333,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,0.0,219920e3a715ceb3dc69f3638f7571d5,basketball_nba
NHL,h2h,Anaheim Ducks,140.0,+140,0.5593,,0.4167,14.26,,,34.23,0.003830316958728333,38.30316958728333,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,0.0,df8e2f4e8a0bfcff34d6bbd0619bc3dd,icehockey_nhl
NHL,h2h,Minnesota Wild,158.0,+158,0.5322,,0.3906,14.16,,,37.32,0.003830316958728333,38.30316958728333,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,fanduel,,0.0,5c45bb4b4310c3efc4baaf7a5f5046d4,icehockey_nhl
NBA,h2h,Los Angeles Lakers,810.0,+810,0.3978,,0.1075,29.03,,,262.03,0.003830316958728333,38.30316958728333,HIGH,CLV_MODEL,0,-0.0033378632906563704,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,fanduel,,0.0,689b4554b0b10e67f46872eb2e74b98d,basketball_nba
NBA,totals,Over,-110.0,-110,0.6131,,0.5122,10.09,,,17.04,0.003830316958728333,38.30316958728333,HIGH,CLV_MODEL,0,-0.0070356472795497504,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,213.5,0.0,689b4554b0b10e67f46872eb2e74b98d,basketball_nba
CFB,totals,Over,-105.0,-105,0.5738,,0.5,7.38,,,12.03,0.0030259503973953834,30.259503973953834,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,fanduel,,0.0,2c288580da16e12d35355f2548721be6,americanfootball_ncaaf
CFB,totals,Over,-105.0,-105,0.5738,,0.5,7.38,,,12.03,0.0030259503973953834,30.259503973953834,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,fanduel,,0.0,123a238486098cc9e8f71fea0cf4e7b0,americanfootball_ncaaf
CFB,spreads,Virginia Cavaliers,-108.0,-108,0.5738,,0.5,7.38,,,10.51,0.0027195250406971167,27.195250406971166,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,1.0,123a238486098cc9e8f71fea0cf4e7b0,americanfootball_ncaaf
CFB,spreads,TCU Horned Frogs,-108.0,-108,0.5738,,0.5,7.38,,,10.51,0.0027195250406971167,27.195250406971166,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,1.0,2c288580da16e12d35355f2548721be6,americanfootball_ncaaf
CFB,totals,Over,-110.0,-110,0.5738,,0.5,7.38,,,9.55,0.0025088576079670584,25.088576079670585,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,0.0,073bba47dc105fcd66913e74f281ae96,americanfootball_ncaaf
CFB,totals,Over,-110.0,-110,0.5738,,0.5,7.38,,,9.55,0.0025088576079670584,25.088576079670585,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,0.0,1bb9e45b6e7ed1200104ed018eff9093,americanfootball_ncaaf
CFB,totals,Over,-110.0,-110,0.5738,,0.5,7.38,,,9.55,0.0025088576079670584,25.088576079670585,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,fanduel,,0.0,a6dfbee17481c21d08f98efa7b4ba82e,americanfootball_ncaaf
CFB,totals,Over,-110.0,-110,0.5738,,0.5,7.38,,,9.55,0.0025088576079670584,25.088576079670585,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,fanduel,,0.0,525909f6be5e505d076a97eb097528eb,americanfootball_ncaaf
CFB,spreads,Louisville Cardinals,-110.0,-110,0.5738,,0.5,7.38,,,9.55,0.0025088576079670584,25.088576079670585,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,fanduel,,0.0,a6dfbee17481c21d08f98efa7b4ba82e,americanfootball_ncaaf
CFB,spreads,Clemson Tigers,-110.0,-110,0.5738,,0.5,7.38,,,9.55,0.0025088576079670584,25.088576079670585,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,0.0,073bba47dc105fcd66913e74f281ae96,americanfootball_ncaaf
CFB,spreads,UCLA Bruins,-110.0,-110,0.5738,,0.5,7.38,,,9.55,0.0025088576079670584,25.088576079670585,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,0.0,1bb9e45b6e7ed1200104ed018eff9093,americanfootball_ncaaf
CFB,spreads,Baylor Bears,-110.0,-110,0.5738,,0.5,7.38,,,9.55,0.0025088576079670584,25.088576079670585,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,0.0,525909f6be5e505d076a97eb097528eb,americanfootball_ncaaf
CFB,totals,Under,-105.0,-105,0.5738,,0.5,7.38,,,12.03,0.0030259503973953834,30.259503973953834,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,fanduel,,0.0,b460f3aa4235ec2485f25182755304d6,americanfootball_ncaaf
CFB,spreads,Notre Dame Fighting Irish,-108.0,-108,0.5738,,0.5,7.38,,,10.51,0.0027195250406971167,27.195250406971166,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,1.0,b460f3aa4235ec2485f25182755304d6,americanfootball_ncaaf
CFB,totals,Over,-110.0,-110,0.5738,,0.5,7.38,,,9.55,0.0025088576079670584,25.088576079670585,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,fanduel,,0.0,a570687d47661da4982cfd885cdb4a44,americanfootball_ncaaf
CFB,spreads,Florida State Seminoles,-108.0,-108,0.5738,,0.5,7.38,,,10.51,0.0027195250406971167,27.195250406971166,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,1.0,a570687d47661da4982cfd885cdb4a44,americanfootball_ncaaf
CFB,totals,Over,-110.0,-110,0.5738,,0.5,7.38,,,9.55,0.0025088576079670584,25.088576079670585,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,0.0,b38f4f63351c15767e64a76a73589574,americanfootball_ncaaf
CFB,spreads,Michigan Wolverines,-110.0,-110,0.5738,,0.5,7.38,,,9.55,0.0025088576079670584,25.088576079670585,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,fanduel,,1.0,b38f4f63351c15767e64a76a73589574,americanfootball_ncaaf
CFB,spreads,Ohio State Buckeyes,-108.0,-108,0.5738,,0.5,7.38,,,10.51,0.0027195250406971167,27.195250406971166,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,0.0,08c34029ecc85b4a6d519f90f9082e56,americanfootball_ncaaf
CFB,totals,Over,-110.0,-110,0.5738,,0.5,7.38,,,9.55,0.0025088576079670584,25.088576079670585,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,0.0,7311bf775464ae97893928e22512bb47,americanfootball_ncaaf
CFB,spreads,Houston Cougars,-105.0,-105,0.5738,,0.5,7.38,,,12.03,0.0030259503973953834,30.259503973953834,HIGH,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,0.0,7311bf775464ae97893928e22512bb47,americanfootball_ncaaf
MLB,spreads,Toronto Blue Jays,168.0,+168,0.456,,0.3906,6.53,,,22.2,0.003160011490950875,31.60011490950875,MEDIUM,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,fanduel,-1.5,0.0,341da475ed0042be75b5bc44221f8161,baseball_mlb
MLB,spreads,Tampa Bay Rays,170.0,+170,0.4354,,0.369,6.64,,,17.56,0.002470554438379775,24.70554438379775,MEDIUM,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,bovada,-1.5,1.0,83a816db7e0b75a4f8d0b9a486ad3113,baseball_mlb
MLB,h2h,Miami Marlins,125.0,+125,0.5011,,0.4386,6.25,,,12.75,0.002441827061189312,24.41827061189312,MEDIUM,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,betmgm,,1.0,4c6f75a0f0a2e467d79983253235c3a9,baseball_mlb
MLB,totals,Over,-118.0,-118,0.5845,,0.5434,4.11,,,7.98,0.002250311213252896,22.50311213252896,MEDIUM,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,9.0,0.0,8ca3a46477683553d785413b73444311,baseball_mlb
MLB,h2h,Arizona Diamondbacks,135.0,+135,0.4756,,0.4219,5.37,,,11.77,0.0020875227425069414,20.875227425069415,MEDIUM,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,draftkings,,0.0,b7ad1d7b238b8062d64011d24d284989,baseball_mlb
MLB,h2h,Colorado Rockies,146.0,+146,0.455,,0.4049,5.02,,,11.94,0.00195346164895145,19.534616489514498,MEDIUM,CLV_MODEL,0,0.0,0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,fanduel,,1.0,9e48c32033c5db8cdc98fcd3ecdc2aa2,baseball_mlb
